Gen Number,ID,Fitness,Weights,Diversity
42,681,0.05498820793130186,"[0.2133978348871978, 0.6688251473253406, 0.5236120079577116, 0.5913300543687751, 0.9623721807512556, 0.8035351646229455]",0.1638448015942304
42,692,0.05472226705016502,"[0.2134434279535924, 0.6636046977059169, 0.13872386025366418, 0.5950608992639185, 0.9623771823357713, 0.5589555385938552]",0.1638448015942304
42,683,0.0533254217248951,"[0.2245596047865943, 0.6832306330853523, 0.3754660925139612, 0.2615490200203806, 0.015127326267264096, 0.05028662708080339]",0.1638448015942304
42,686,0.05294954407452336,"[0.21191053389007786, -0.2014652123176588, 0.5250233177460341, 0.5911370175621883, 0.9622012048559088, 0.05810110622556915]",0.1638448015942304
43,642,0.2441780091709399,"[0.21340476692429078, 0.6688236566819341, 0.523955877768391, 0.5943055631930892, 0.9623729411995459, 0.05717817831603948]",0.22833220864003956
43,679,0.2021719593742945,"[0.21717030243123933, 0.6737173471949488, 0.5212658802610958, 0.6022904429309601, 0.9628057246309065, 0.05485235782210404]",0.22833220864003956
43,674,0.17319441552506243,"[0.2232661583639804, 0.6816395224849471, 0.5169111643823994, 0.6152168053122217, 0.963506338246894, 0.05108719171749963]",0.22833220864003956
43,700,0.1522950294949446,"[0.221594096962262, 0.6794665112349754, 0.5181056401732576, 0.6116711717144452, 0.9633141635961581, 0.05211995708860258]",0.22833220864003956
43,705,0.12651386975463977,"[0.22514934629014588, 0.6840869137979474, 0.5155658654686577, 0.619210136164233, 0.9637227782541864, 0.04992402194668612]",0.22833220864003956
43,691,0.09999897489626787,"[0.22828148303393822, 0.6878090368206988, 0.5249032007242486, 0.7240995154163476, 0.9640815598758656, 0.04798301090094567]",0.22833220864003956
43,702,0.09631676399079989,"[0.22652929527670368, 0.6855868349752, 0.5243296101570025, 0.7048907226551941, 0.9638803658734999, 0.04906627882771548]",0.22833220864003956
43,697,0.0914397790867063,"[0.2133733185690197, 0.6687827863946786, 0.5239783436293906, 0.5942388764404799, 0.9623693267529208, 0.05719760270575911]",0.22833220864003956
43,704,0.08875584557219408,"[0.21255472820883023, 0.6677189462390586, 0.5245631226135065, 0.14767112210151917, 0.962275243894239, 0.05770321319126731]",0.22833220864003956
43,696,0.08757872424136912,"[0.22387777604050113, 0.6821891103077554, 0.5246227804557562, 0.6856787691374872, 0.9635757858892835, 0.050704903471404425]",0.22833220864003956
43,699,0.07516141985794611,"[0.2166305197530678, 0.6801484262347267, 0.5177308004393921, 0.6127838308108846, 0.963374470130195, 0.051795863875653]",0.22833220864003956
43,693,0.07397905626744916,"[0.21198839160875754, 0.6669829351081493, 0.5249676982813428, 0.591302116130287, 0.6811052537696543, 0.05805301663050834]",0.22833220864003956
43,703,0.0681176286840817,"[0.23134024806123946, 0.69171257415854, 0.525097977468362, 0.7507861308555072, 0.9644328647615409, 0.04609241513356194]",0.22833220864003956
43,706,0.06101788232465288,"[0.9232387677393461, 0.6781257294541356, 0.5224037636112542, 0.6403966578997702, 0.9632048513225168, 0.05270338151736782]",0.22833220864003956
43,694,0.05488809702274719,"[0.22164136566500564, -0.17100954264725732, 0.5180718726806077, 0.25376597234364473, 0.9633195963191616, 0.05209076110376588]",0.22833220864003956
43,695,0.05371163657001739,"[0.21175086967663712, 0.6668441833920917, 0.5194917921275444, 0.5428785675561079, 0.9621834412243775, -0.5887152626192714]",0.22833220864003956
43,698,0.05257033402545556,"[0.21486138228006324, 0.2054008284632417, 0.12025462215131777, 0.5973943399205206, 0.9625403540391487, 0.7899666418598349]",0.22833220864003956
43,701,0.05213687156746687,"[0.21717030243123933, 0.34130049621902225, 0.251618215711434, 0.6022904429309601, 0.9628057246309065, 0.05485235782210404]",0.22833220864003956
43,708,0.05008370803102441,"[0.01083255081839528, -0.34232597446113283, 0.0031195224105011986, 0.2955587890671658, 0.1782489398967063, -0.07829043369961673]",0.22833220864003956
43,707,0.0499754604800223,"[0.5003990479950333, 0.05814428650361223, -0.036074567633441045, -0.16353189330051549, 0.00995822795493036, -0.004692892481532551]",0.22833220864003956
44,715,0.25287988057308414,"[0.22328711293064604, 0.6816667550429476, 0.47142535926482676, 0.6152612398141606, 0.963508746613313, 0.05107424892078385]",0.2240591110570382
44,713,0.230060726326826,"[0.21566448089717138, 0.6717603813020596, 0.5223415987520248, 0.599097323696248, 0.9626326563888655, 0.055782443483939334]",0.2240591110570382
44,674,0.18865988651790064,"[0.2232661583639804, 0.6816395224849471, 0.5169111643823994, 0.6152168053122217, 0.963506338246894, 0.05108719171749963]",0.2240591110570382
44,642,0.16633306084066352,"[0.21340476692429078, 0.6688236566819341, 0.523955877768391, 0.5943055631930892, 0.9623729411995459, 0.05717817831603948]",0.2240591110570382
44,700,0.14291472259922094,"[0.221594096962262, 0.6794665112349754, 0.5181056401732576, 0.6116711717144452, 0.9633141635961581, 0.05211995708860258]",0.2240591110570382
44,716,0.13409853023926377,"[0.22253177099033733, 0.6905481884247809, 0.5174357910127534, 0.6136595248540425, 0.9634219330708105, 0.05154079339007836]",0.2240591110570382
44,679,0.11458009661655073,"[0.21717030243123933, 0.6737173471949488, 0.5212658802610958, 0.6022904429309601, 0.9628057246309065, 0.05485235782210404]",0.2240591110570382
44,710,0.08375416884906121,"[0.22269242162050837, 0.6808938941265593, 0.5173210265140764, 0.6140001871474565, 0.9634403970929519, 0.05144156592898393]",0.2240591110570382
44,719,0.07983956329788598,"[0.22003563923323682, 0.6774411393351775, 0.5192189605492218, 0.6083664365659229, 0.9631350457303582, 0.05308255402027674]",0.2240591110570382
44,718,0.07187429552543587,"[0.22328646893657342, 0.6816659181081537, 0.5168966550544309, 0.6152598742141783, 0.9635086725972895, 0.05107464669013414]",0.2240591110570382
44,721,0.06532786893463542,"[0.9396966694022739, 0.6799891142676948, 0.5178183721387176, 0.6125238865225872, 0.9633603810537472, 0.05187157995064112]",0.2240591110570382
44,717,0.0634988029927261,"[0.22269529053382975, 0.6808976225667447, 0.517318977039395, 0.08570600422054053, 0.9634407268251108, 0.05143979391610928]",0.2240591110570382
44,720,0.056347227335772514,"[0.21603085239366682, 0.6722365177541871, 0.5220798727875509, 0.5998742204572802, 0.9626747644802945, 0.7509022263267593]",0.2240591110570382
44,709,0.055723358353168786,"[0.2244081202464475, 0.3543700425316556, 0.5160953774613641, 0.6176383541941552, 0.9636375870908009, 0.3437592438556999]",0.2240591110570382
44,712,0.05466825770487502,"[-0.3003250135664963, 0.6790928049997504, 0.5183110615905994, 0.6110614070925044, 0.9632811141284053, 0.05229756816112259]",0.2240591110570382
44,723,0.05251749773081265,"[-0.28626255618893676, 0.6701590252325348, 0.5232218431859255, 0.5964844417416865, 0.9624910372217448, 0.05654351874088163]",0.2240591110570382
44,722,0.05232000846586848,"[0.21474719089749364, 0.1936184808879679, 0.5229968861097052, 0.5971521952228444, 0.9625272297070879, 0.05634901678438907]",0.2240591110570382
44,714,0.0513952685524384,"[0.21360932913018787, 0.6690895057555846, 0.5238097440185076, 0.5947393407022875, 0.9623964521007793, -0.8495719656504466]",0.2240591110570382
44,711,0.05081695059780037,"[-0.2670654209132567, 0.6822504862536926, 0.18255183000788155, 0.6162136955333453, 0.9635603700651244, -0.17126752408321658]",0.2240591110570382
44,724,0.049584878713411655,"[-0.13716486259352864, 0.3124994279650533, 0.3025132912780706, -0.48582720079095304, -0.43506066891980516, -0.5146661067563119]",0.2240591110570382
45,715,0.24017300787360774,"[0.22328711293064604, 0.6816667550429476, 0.47142535926482676, 0.6152612398141606, 0.963508746613313, 0.05107424892078385]",0.23962761315885203
45,713,0.2155939360054411,"[0.21566448089717138, 0.6717603813020596, 0.5223415987520248, 0.599097323696248, 0.9626326563888655, 0.055782443483939334]",0.23962761315885203
45,730,0.18888531757116203,"[0.21363663764986168, 0.6691249959118732, 0.5237902355449544, 0.5947972488656847, 0.9623995907446263, 0.05703496105398438]",0.23962761315885203
45,674,0.17053552009285536,"[0.2232661583639804, 0.6816395224849471, 0.5169111643823994, 0.6152168053122217, 0.963506338246894, 0.05108719171749963]",0.23962761315885203
45,725,0.11682031583676411,"[0.21512897634352643, 0.47090683239921755, 0.5259185624543435, 0.5979617775164161, 0.6661724624351313, 0.05611320320275352]",0.23962761315885203
45,737,0.0999898254410215,"[0.2265453261474932, 0.8086466225307873, 0.5145686149236638, 0.6221703343237881, 0.9638832220879141, 0.24259088534467085]",0.23962761315885203
45,738,0.08281662985187409,"[0.5905902423178438, 0.6835613663161474, 0.5158547520282485, 0.6183526169918308, 0.9636763003982793, 0.05017379849067797]",0.23962761315885203
45,735,0.07439707296530106,"[0.22271976654561004, 0.9476245061534407, 0.5173014920334627, 0.6140581725091602, 0.9634435399209759, 0.05142467606376044]",0.23962761315885203
45,642,0.07380603751451496,"[0.21340476692429078, 0.6688236566819341, 0.523955877768391, 0.5943055631930892, 0.9623729411995459, 0.05717817831603948]",0.23962761315885203
45,726,0.07059508189876222,"[0.22295877196634747, 0.6812400430762017, 0.517130752975279, 0.6145649874197527, 0.9634710094763445, 0.05127705198620573]",0.23962761315885203
45,731,0.06648907945062517,"[0.21264418747278693, 0.6678352075119953, 0.7916259677402335, 0.5926927420046694, 0.9622855256953669, 0.0576479577862661]",0.23962761315885203
45,733,0.06421874578023327,"[-0.08086660907690807, 0.6797464948288531, 0.48129500798755026, 0.612128012072401, 0.64904013217861, 0.05198688950313214]",0.23962761315885203
45,734,0.05849066563493112,"[0.21337309062142176, 0.6687824901539459, 0.5239785064690369, 0.5942383930738637, 0.9623693005542715, -0.4931826638191064]",0.23962761315885203
45,728,0.053608128393745284,"[0.22060934209223196, 0.6781867236572939, 0.4856592962758518, 0.6095829828780996, 0.9632009829898633, 0.47441552915094864]",0.23962761315885203
45,729,0.04715374067053604,"[0.7241368076516435, 0.6835395808752499, 0.4617995111906989, 0.6183170703782598, -0.050742831037260516, 0.05018415244027365]",0.23962761315885203
45,727,0.047080302252813774,"[0.21782046706540154, 0.6745623012516098, 0.5208014200954698, -0.39611144651882335, 0.9628804498541326, 0.05445077716305141]",0.23962761315885203
45,736,0.04570869700796249,"[-0.35169396939527553, 0.8189430262516082, -0.22348672371997202, 0.5859668547024183, 0.6972258452107403, 0.05960706137217016]",0.23962761315885203
